schedule,min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,schedule,max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,schedule,default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A
SecondarySchoolBldgEquip,SecondarySchoolBldgEquip,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,SecondarySchoolBldgEquip,SecondarySchoolBldgEquip,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,SecondarySchoolBldgEquip,SecondarySchoolBldgEquip,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SchoolSecondaryBLDG_SWH_SCH,SchoolSecondaryBLDG_SWH_SCH,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,SchoolSecondaryBLDG_SWH_SCH,SchoolSecondaryBLDG_SWH_SCH,1.2048,1.2048,1.2048,1.2048,1.2048,1.2048,1.2048,1.2048,1.2048,1.2048,1.2048,1.2048,1.2048,1.2048,1.2048,SchoolSecondaryBLDG_SWH_SCH,SchoolSecondaryBLDG_SWH_SCH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SecondarySchoolBldgOcc,SecondarySchoolBldgOcc,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,SecondarySchoolBldgOcc,SecondarySchoolBldgOcc,1.11112,1.11112,1.11112,1.11112,1.11112,1.11112,1.11112,1.11112,1.11112,1.11112,1.11112,1.11112,1.11112,1.11112,1.11112,SecondarySchoolBldgOcc,SecondarySchoolBldgOcc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SecondarySchoolHtgSetp,SecondarySchoolHtgSetp,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,SecondarySchoolHtgSetp,SecondarySchoolHtgSetp,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,SecondarySchoolHtgSetp,SecondarySchoolHtgSetp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SecondarySchoolClgSetp,SecondarySchoolClgSetp,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,SecondarySchoolClgSetp,SecondarySchoolClgSetp,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,SecondarySchoolClgSetp,SecondarySchoolClgSetp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SecondarySchoolBldgLight,SecondarySchoolBldgLight,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,SecondarySchoolBldgLight,SecondarySchoolBldgLight,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,SecondarySchoolBldgLight,SecondarySchoolBldgLight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
